Столбец1;district;SOZYV;turnout;deputy;expell;self_success;ER_success;KPRF_success;ya_success;other_success;self_share;er_share;kprf_share;ya_share;other_share;party_deputy_share
Котловка;40;4;0.14;10;0.02;0,00;1,00;0,00;0,00;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Красносельский;41;4;0.21;10;0.07;0.5;0.3;0,00;0,00;НЕТ;0.7;0.3;0,00;0,00;0,00;0.3
Крылатское;42;4;0.18;10;0.05;0.17;0.5;0,00;0,00;НЕТ;0.5;0.5;0,00;0,00;0,00;0.5
Крюково;43;4;0.12;10;0.07;0,00;1,00;0,00;0,00;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Кузьминки;44;4;0.13;15;0.11;0,00;1,00;0,00;0,00;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Кунцево;45;4;0.13;10;0.09;0.17;0.4;0.2;0.43;НЕТ;0.1;0.4;0.2;0.3;0,00;0.9
Куркино;46;4;0.26;10;0.03;0.53;0,00;0,00;0,00;НЕТ;1,00;0,00;0,00;0,00;0,00;0,00
Левобережный;47;4;0.17;10;0.02;0,00;0.89;0,00;0.17;НЕТ;0,00;0.8;0,00;0.1;0,00;1,00
Лефортово;48;4;0.18;15;0.11;0.09;0.73;0.21;0,00;НЕТ;0.07;0.73;0.2;0,00;0,00;0.93
Лианозово;49;4;0.15;15;0.03;0,00;1,00;0,00;0,00;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Ломоносовский;50;4;0.16;10;0.07;0.09;0.2;0.11;0.67;НЕТ;0.1;0.2;0.1;0.6;0,00;0.9
Лосиноостровский;51;4;0.16;12;0.06;0,00;0.83;0.1;0.14;НЕТ;0,00;0.83;0.08;0.08;0,00;1,00
Люблино;52;4;0.14;20;0.15;0,00;1,00;0,00;0,00;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Марфино;53;4;0.19;10;0.01;0,00;1,00;0,00;0,00;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Марьина Роща;54;4;0.17;10;0.06;0,00;0.5;0,00;0.5;НЕТ;0,00;0.5;0,00;0.5;0,00;1,00
Марьино;55;4;0.12;20;0.08;0,00;1,00;0,00;0,00;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Матушкино;56;4;0.16;10;0,00;0,00;1,00;0,00;0,00;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Метрогородок;57;4;0.18;10;0.11;0,00;1,00;0,00;0,00;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Мещанский;58;4;0.2;10;0.21;0.14;0.5;0,00;0.6;НЕТ;0.2;0.5;0,00;0.3;0,00;0.8
Митино;59;4;0.14;12;0.09;0,00;0.92;0,00;0.17;НЕТ;0,00;0.92;0,00;0.08;0,00;1,00
Можайский;60;4;0.11;10;0.08;0,00;0.8;0.17;0.2;НЕТ;0,00;0.8;0.1;0.1;0,00;1,00
Молжаниновский;61;4;0.31;10;0.27;0.29;0.1;0.25;0,00;НЕТ;0.6;0.1;0.2;0,00;0,00;0.4
Москворечье-Сабурово;62;4;0.13;10;0.07;0,00;1,00;0,00;0,00;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Нагатино-Садовники;63;4;0.14;10;0.09;0,00;1,00;0,00;0,00;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Нагатинский Затон;64;4;0.13;10;0.09;0,00;43344,00;0.13;0,00;НЕТ;0,00;43344,00;0.1;0,00;0,00;1,00
