Столбец1;district;SOZYV;turnout;deputy;expell;self_success;ER_success;KPRF_success;ya_success;other_success;self_share;er_share;kprf_share;ya_share;other_share;party_deputy_share
Нагатино-Садовники;63;3;0.54;10;0.18;0.91;НЕТ;0,00;НЕТ;НЕТ;1,00;0,00;0,00;0,00;0,00;0,00
Нагатинский Затон;64;3;0.59;13;0.04;0.42;НЕТ;0.18;НЕТ;НЕТ;0.85;0,00;0.15;0,00;0,00;0.15
Нагорный;65;3;0.55;10;0.08;0.36;НЕТ;0.4;НЕТ;НЕТ;0.8;0,00;0.2;0,00;0,00;0.2
Некрасовка;66;3;0.54;10;0.07;0.63;НЕТ;НЕТ;НЕТ;НЕТ;1,00;0,00;0,00;0,00;0,00;0,00
Нижегородский;67;3;0.53;12;0.02;0.42;НЕТ;0,00;НЕТ;НЕТ;0.92;0,00;0,00;0,00;0,00;0.08
Ново-Переделкино;68;3;0.54;12;0.13;0.77;НЕТ;0,00;0.5;НЕТ;0.83;0,00;0,00;0.08;0,00;0.17
Новогиреево;69;3;0.57;12;0.09;0.69;НЕТ;0.5;0.5;НЕТ;0.75;0,00;0.17;0.08;0,00;0.25
Новокосино;70;3;0.56;15;0.13;0.8;НЕТ;0.67;НЕТ;НЕТ;0.8;0,00;0.13;0,00;0,00;0.2
Обручевский;71;3;0.56;10;0.04;0.44;НЕТ;0.2;1,00;НЕТ;0.8;0,00;0.1;0.1;0,00;0.2
Орехово-Борисово Северное;72;3;0.55;15;0.12;0.56;НЕТ;0.67;НЕТ;НЕТ;0.67;0,00;0.27;0,00;0,00;0.33
Орехово-Борисово Южное;73;3;0.55;15;0.15;0.57;НЕТ;0.5;0,00;НЕТ;0.87;0,00;0.07;0,00;0,00;0.13
Останкинский;74;3;0.58;12;0.05;0.27;НЕТ;0.5;НЕТ;НЕТ;0.58;0,00;0.25;0,00;0,00;0.42
Отрадное;75;3;0.57;18;0.17;0.39;НЕТ;0.33;НЕТ;НЕТ;0.78;0,00;0.22;0,00;0,00;0.22
Очаково-Матвеевское;76;3;0.53;12;0.06;0.56;НЕТ;0,00;1,00;НЕТ;0.75;0,00;0,00;0.08;0,00;0.25
Перово;77;3;0.56;14;0.11;0.19;НЕТ;0.6;НЕТ;НЕТ;0.43;0,00;0.21;0,00;0,00;0.57
Печатники;78;3;0.55;15;0.23;0.56;НЕТ;0.5;НЕТ;НЕТ;0.67;0,00;0.2;0,00;0,00;0.33
Покровское-Стрешнево;79;3;0.59;12;0.14;0.41;НЕТ;0.11;НЕТ;НЕТ;0.75;0,00;0.08;0,00;0,00;0.25
Преображенское;80;3;0.58;12;0.14;0.55;НЕТ;0.33;НЕТ;НЕТ;0.92;0,00;0.08;0,00;0,00;0.08
Пресненский;81;3;0.52;15;0.2;0.27;НЕТ;0.45;0.5;НЕТ;0.4;0,00;0.33;0.07;0,00;0.6
Проспект Вернадского;82;3;0.54;10;0.09;0.41;НЕТ;0.33;НЕТ;НЕТ;0.7;0,00;0.2;0,00;0,00;0.3
Раменки;83;3;0.56;12;0.06;0.44;НЕТ;0.29;НЕТ;НЕТ;0.67;0,00;0.17;0,00;0,00;0.33
Ростокино;84;3;0.56;10;0.04;0.69;НЕТ;0.17;НЕТ;НЕТ;0.9;0,00;0.1;0,00;0,00;0.1
Рязанский;85;3;0.56;12;0.27;0.71;НЕТ;0.5;НЕТ;НЕТ;0.83;0,00;0.08;0,00;0,00;0.17
Савёлки;86;3;0.58;12;0.11;0.48;НЕТ;0,00;НЕТ;НЕТ;0.83;0,00;0,00;0,00;0,00;0.17
Савёловский;87;3;0.55;12;0.23;0.37;НЕТ;0.36;НЕТ;НЕТ;0.58;0,00;0.33;0,00;0,00;0.42
Свиблово;88;3;0.58;14;0.1;0.35;НЕТ;0.08;НЕТ;НЕТ;0.93;0,00;0.07;0,00;0,00;0.07
Северное Бутово;89;3;0.54;10;0.25;0.73;НЕТ;0.5;НЕТ;НЕТ;0.8;0,00;0.2;0,00;0,00;0.2
Северное Измайлово;90;3;0.54;12;0.16;0.29;НЕТ;0.67;НЕТ;НЕТ;0.5;0,00;0.33;0,00;0,00;0.5
Северное Медведково;91;3;0.56;15;0.27;1,00;НЕТ;НЕТ;НЕТ;НЕТ;0.73;0,00;0,00;0,00;0,00;0.27
Северное Тушино;92;3;0.55;15;0.08;0.41;НЕТ;0.17;НЕТ;НЕТ;0.8;0,00;0.07;0,00;0,00;0.2
Северный;93;3;0.55;10;0.24;0.53;НЕТ;0,00;НЕТ;НЕТ;1,00;0,00;0,00;0,00;0,00;0,00
Силино;94;3;0.62;14;0.24;0.63;НЕТ;0.33;НЕТ;НЕТ;0.86;0,00;0.14;0,00;0,00;0.14
Сокол;95;3;0.57;10;0.16;0.3;НЕТ;0.33;НЕТ;НЕТ;0.7;0,00;0.1;0,00;0,00;0.3
Соколиная Гора;96;3;0.54;12;0.06;0.6;НЕТ;0.2;НЕТ;НЕТ;0.75;0,00;0.08;0,00;0,00;0.25
Сокольники;97;3;0.58;10;0.12;0.22;НЕТ;0.5;НЕТ;НЕТ;0.5;0,00;0.5;0,00;0,00;0.5
Солнцево;98;3;0.54;12;0.23;0.83;НЕТ;0.14;1,00;НЕТ;0.83;0,00;0.08;0.08;0,00;0.17
Старое Крюково;99;3;0.59;12;0.07;0.61;НЕТ;0.33;НЕТ;НЕТ;0.92;0,00;0.08;0,00;0,00;0.08
Строгино;100;3;0.56;16;0.12;0.38;НЕТ;0.29;1,00;НЕТ;0.69;0,00;0.25;0.06;0,00;0.31
Таганский;101;3;0.55;15;0.21;0.21;НЕТ;0.3;НЕТ;НЕТ;0.4;0,00;0.2;0,00;0,00;0.6
Тверской;102;3;0.54;12;0.12;0.33;НЕТ;0.25;1,00;НЕТ;0.58;0,00;0.25;0.08;0,00;0.42
Текстильщики;103;3;0.55;12;0.25;0.58;НЕТ;0.4;НЕТ;НЕТ;0.58;0,00;0.17;0,00;0,00;0.42
Тёплый Стан;104;3;0.59;15;0.15;0.37;НЕТ;0.3;0,00;НЕТ;0.67;0,00;0.2;0,00;0,00;0.33
Тимирязевский;105;3;0.54;15;0.06;0.41;НЕТ;0.36;НЕТ;НЕТ;0.73;0,00;0.27;0,00;0,00;0.27
Тропарёво-Никулино;106;3;0.6;12;0.39;0.43;НЕТ;1,00;НЕТ;НЕТ;0.5;0,00;0.17;0,00;0,00;0.5
Филёвский Парк;107;3;0.54;12;0.34;0.69;НЕТ;1,00;1,00;НЕТ;0.75;0,00;0.08;0.08;0,00;0.25
Фили-Давыдково;108;3;0.54;12;0.07;0.65;НЕТ;0,00;0,00;НЕТ;0.92;0,00;0,00;0,00;0,00;0.08
Хамовники;109;3;0.55;15;0.2;0.44;НЕТ;0.29;НЕТ;НЕТ;0.73;0,00;0.13;0,00;0,00;0.27
Ховрино;110;3;0.56;12;0.3;0.4;НЕТ;0.5;НЕТ;НЕТ;0.67;0,00;0.33;0,00;0,00;0.33
Хорошёво-Мнёвники;111;3;0.54;15;0.04;0.33;НЕТ;0.54;НЕТ;НЕТ;0.53;0,00;0.47;0,00;0,00;0.47
Хорошёвский;112;3;0.58;10;0.13;0.41;НЕТ;0.33;1,00;НЕТ;0.7;0,00;0.2;0.1;0,00;0.3
Царицыно;113;3;0.51;12;0.19;0.59;НЕТ;0,00;НЕТ;НЕТ;0.83;0,00;0,00;0,00;0,00;0.17
Черёмушки;114;3;0.56;12;0.03;0.4;НЕТ;0.6;1,00;НЕТ;0.67;0,00;0.25;0.08;0,00;0.33
Чертаново Северное;115;3;0.57;12;0.4;0.73;НЕТ;0,00;НЕТ;НЕТ;0.92;0,00;0,00;0,00;0,00;0.08
Чертаново Центральное;116;3;0.55;12;0.03;0.6;НЕТ;НЕТ;НЕТ;НЕТ;1,00;0,00;0,00;0,00;0,00;0,00
Чертаново Южное;117;3;0.53;15;0.4;0.64;НЕТ;0,00;НЕТ;НЕТ;0.93;0,00;0,00;0,00;0,00;0.07
Щукино;118;3;0.58;15;0.16;0.39;НЕТ;0.45;1,00;НЕТ;0.6;0,00;0.33;0.07;0,00;0.4
Южное Бутово;119;3;0.52;12;0.13;0.56;НЕТ;0,00;1,00;НЕТ;0.83;0,00;0,00;0.08;0,00;0.17
Южное Медведково;120;3;0.54;12;0.08;0.5;НЕТ;0.67;НЕТ;НЕТ;0.75;0,00;0.17;0,00;0,00;0.25
Южное Тушино;121;3;0.56;12;0.14;0.45;НЕТ;0.33;НЕТ;НЕТ;0.75;0,00;0.17;0,00;0,00;0.25
Южнопортовый;122;3;0.52;12;0.02;0.63;НЕТ;0,00;НЕТ;НЕТ;1,00;0,00;0,00;0,00;0,00;0,00
Якиманка;123;3;0.56;10;0.14;0.62;НЕТ;1,00;НЕТ;НЕТ;0.8;0,00;0.1;0,00;0,00;0.2
Ярославский;124;3;0.58;11;0.04;0.42;НЕТ;0,00;НЕТ;НЕТ;0.91;0,00;0,00;0,00;0,00;0.09
Ясенево;125;3;0.57;18;0,00;0.61;НЕТ;0.25;НЕТ;НЕТ;0.78;0,00;0.06;0,00;0,00;0.22
Академический;1;2;0.55;12;0.05;0.4;0.83;НЕТ;НЕТ;НЕТ;0.17;0.83;0,00;0,00;0,00;0.83
Алексеевский;2;2;0.63;10;0.05;0.7;1,00;0,00;НЕТ;НЕТ;0.7;0.3;0,00;0,00;0,00;0.3
Алтуфьевский;3;2;0.59;12;0.24;0.67;0.58;0.75;НЕТ;НЕТ;0.17;0.58;0.25;0,00;0,00;0.83
Арбат;4;2;0.73;10;0.31;0.29;0.7;0.2;НЕТ;НЕТ;0.2;0.7;0.1;0,00;0,00;0.8
Аэропорт;5;2;0.53;12;0.05;НЕТ;0.82;0.33;НЕТ;1,00;0,00;0.75;0.17;0,00;0,00;1,00
Бабушкинский;6;2;0.5;12;0.04;0.33;0.75;0.4;НЕТ;0,00;0.08;0.75;0.17;0,00;0,00;0.92
Басманный;7;2;0.78;12;0.2;0.6;0.75;0,00;НЕТ;0,00;0.25;0.75;0,00;0,00;0,00;0.75
Беговой;8;2;0.48;10;0.07;0.21;0.75;0.5;НЕТ;0,00;0.3;0.6;0.1;0,00;0,00;0.7
Бескудниковский;9;2;0.58;12;0.13;0,00;0.92;1,00;НЕТ;НЕТ;0,00;0.92;0.08;0,00;0,00;1,00
Бибирево;10;2;0.57;16;0.43;1,00;0.87;0.17;НЕТ;НЕТ;0.13;0.81;0.06;0,00;0,00;0.88
Бирюлёво Восточное;11;2;0.82;15;0.11;0.2;1,00;0,00;НЕТ;НЕТ;0.2;0.8;0,00;0,00;0,00;0.8
Бирюлёво Западное;12;2;0.76;12;0.41;0,00;1,00;0,00;НЕТ;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Богородское;13;2;0.63;13;0.33;0.14;0.92;0,00;НЕТ;НЕТ;0.15;0.85;0,00;0,00;0,00;0.85
Братеево;14;2;0.87;12;0,00;0.43;0.9;0,00;НЕТ;НЕТ;0.25;0.75;0,00;0,00;0,00;0.75
Бутырский;15;2;0.55;10;0.44;0.25;0.9;НЕТ;НЕТ;НЕТ;0.1;0.9;0,00;0,00;0,00;0.9
Вешняки;16;2;0.56;14;0.26;0.4;0.86;0,00;НЕТ;НЕТ;0.14;0.86;0,00;0,00;0,00;0.86
Внуково;17;2;0.5;10;0.25;1,00;0.6;0.4;НЕТ;НЕТ;0.2;0.6;0.2;0,00;0,00;0.8
Войковский;18;2;0.52;10;0.55;1,00;0.78;0.67;НЕТ;НЕТ;0.1;0.7;0.2;0,00;0,00;0.9
Восточное Дегунино;19;2;0.51;12;0.12;0.6;0.73;1,00;НЕТ;НЕТ;0.25;0.67;0.08;0,00;0,00;0.75
Восточное Измайлово;20;2;0.63;10;0.59;0,00;1,00;0,00;НЕТ;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Восточный;21;2;0.63;10;0.45;0.56;0.5;НЕТ;НЕТ;НЕТ;0.5;0.5;0,00;0,00;0,00;0.5
Выхино-Жулебино;22;2;0.75;18;0.22;0.73;0.88;НЕТ;НЕТ;НЕТ;0.61;0.39;0,00;0,00;0,00;0.39
Гагаринский;23;2;0.56;12;0.27;0.5;0.38;0.2;НЕТ;НЕТ;0.67;0.25;0.08;0,00;0,00;0.33
Головинский;24;2;0.62;15;0.4;0.67;0.6;0.67;НЕТ;НЕТ;0.27;0.6;0.13;0,00;0,00;0.73
Гольяново;25;2;0.54;15;0.36;0.2;0.87;0,00;НЕТ;НЕТ;0.13;0.87;0,00;0,00;0,00;0.87
Даниловский;26;2;0.77;12;0.23;0.75;0.75;0,00;НЕТ;НЕТ;0.25;0.75;0,00;0,00;0,00;0.75
Дмитровский;27;2;0.61;12;0.4;1,00;0.91;1,00;НЕТ;НЕТ;0.08;0.83;0.08;0,00;0,00;0.92
Донской;28;2;0.72;10;0.73;0.25;0.9;НЕТ;НЕТ;НЕТ;0.1;0.9;0,00;0,00;0,00;0.9
Дорогомилово;29;2;0.48;12;0.21;0.32;0.2;1,00;НЕТ;НЕТ;0.5;0.08;0.42;0,00;0,00;0.5
Замоскворечье;30;2;0.72;10;0.3;0.43;0.7;0,00;НЕТ;НЕТ;0.3;0.7;0,00;0,00;0,00;0.7
Западное Дегунино;31;2;0.57;10;0.36;0.6;0.75;1,00;НЕТ;НЕТ;0.3;0.6;0.1;0,00;0,00;0.7
Зюзино;32;2;0.57;15;0.07;0.44;0.92;НЕТ;НЕТ;НЕТ;0.27;0.73;0,00;0,00;0,00;0.73
Зябликово;33;2;0.86;15;0.34;0.17;1,00;НЕТ;НЕТ;НЕТ;0.07;0.93;0,00;0,00;0,00;0.93
Ивановское;34;2;0.6;15;0,00;0.6;0.73;0.5;НЕТ;НЕТ;0.2;0.73;0.07;0,00;0,00;0.8
Измайлово;35;2;0.55;12;0.32;0.33;0.75;0,00;НЕТ;НЕТ;0.25;0.75;0,00;0,00;0,00;0.75
Капотня;36;2;0.64;12;0.14;0,00;1,00;НЕТ;НЕТ;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Коньково;37;2;0.49;15;0.03;0.6;0.79;0.5;НЕТ;НЕТ;0.2;0.73;0.07;0,00;0,00;0.8
Коптево;38;2;0.51;12;0.06;0.4;0.73;0,00;НЕТ;НЕТ;0.33;0.67;0,00;0,00;0,00;0.67
Косино-Ухтомский;39;2;0.55;10;0.06;0.11;0.7;0,00;НЕТ;НЕТ;0.3;0.7;0,00;0,00;0,00;0.7
Котловка;40;2;0.59;12;0.04;0,00;1,00;0,00;НЕТ;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Красносельский;41;2;0.71;10;0.35;0.56;0.83;0,00;НЕТ;НЕТ;0.5;0.5;0,00;0,00;0,00;0.5
Крылатское;42;2;0.52;12;0.4;1,00;0,00;0,00;НЕТ;НЕТ;1,00;0,00;0,00;0,00;0,00;0,00
Крюково;43;2;0.51;14;0.16;0.56;0.82;0,00;НЕТ;НЕТ;0.36;0.64;0,00;0,00;0,00;0.64
Кузьминки;44;2;0.71;15;0.49;0.33;0.87;0,00;НЕТ;НЕТ;0.13;0.87;0,00;0,00;0,00;0.87
Кунцево;45;2;0.58;12;0.22;1,00;1,00;0,00;НЕТ;НЕТ;0.67;0.33;0,00;0,00;0,00;0.33
Куркино;46;2;0.61;10;0.1;0.33;0.89;0,00;НЕТ;НЕТ;0.2;0.8;0,00;0,00;0,00;0.8
Левобережный;47;2;0.51;10;0.52;1,00;0.7;1,00;НЕТ;НЕТ;0.2;0.7;0.1;0,00;0,00;0.8
Лефортово;48;2;0.6;12;0.16;0.27;0.67;0.2;НЕТ;НЕТ;0.25;0.67;0.08;0,00;0,00;0.75
Лианозово;49;2;0.61;15;0.22;0.14;1,00;НЕТ;НЕТ;НЕТ;0.07;0.93;0,00;0,00;0,00;0.93
Ломоносовский;50;2;0.47;12;0.1;0.25;0.57;0.57;НЕТ;НЕТ;0.33;0.33;0.33;0,00;0,00;0.67
Лосиноостровский;51;2;0.51;12;0.45;0.33;0.83;0.33;НЕТ;НЕТ;0.08;0.83;0.08;0,00;0,00;0.92
Люблино;52;2;0.77;20;0.21;0.5;0.7;0.5;НЕТ;НЕТ;0.15;0.7;0.1;0,00;0,00;0.85
Марфино;53;2;0.63;10;0.07;0.8;0.67;НЕТ;НЕТ;0,00;0.4;0.6;0,00;0,00;0,00;0.6
Марьина Роща;54;2;0.49;12;0.41;0.86;0.44;0.5;НЕТ;1,00;0.5;0.33;0.08;0,00;0,00;0.5
Марьино;55;2;0.75;21;0.09;0,00;1,00;НЕТ;НЕТ;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Матушкино;56;2;0.51;12;0.33;0.7;0.56;0,00;НЕТ;НЕТ;0.58;0.42;0,00;0,00;0,00;0.42
Метрогородок;57;2;0.57;10;0.3;0,00;1,00;НЕТ;НЕТ;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Мещанский;58;2;0.76;10;0.42;0,00;0.8;1,00;НЕТ;НЕТ;0,00;0.8;0.2;0,00;0,00;1,00
Митино;59;2;0.57;12;0.22;0.36;0.58;0,00;НЕТ;НЕТ;0.42;0.58;0,00;0,00;0,00;0.58
Можайский;60;2;0.6;11;0.04;0.31;0.86;0,00;НЕТ;НЕТ;0.45;0.55;0,00;0,00;0,00;0.55
Молжаниновский;61;2;0.62;10;0,00;0.2;0.89;НЕТ;НЕТ;0,00;0.2;0.8;0,00;0,00;0,00;0.8
Москворечье-Сабурово;62;2;0.72;10;0.29;0.29;0.7;0.33;НЕТ;НЕТ;0.2;0.7;0.1;0,00;0,00;0.8
Нагатино-Садовники;63;2;0.76;10;0.42;0.44;1,00;0,00;НЕТ;НЕТ;0.4;0.6;0,00;0,00;0,00;0.6
Нагатинский Затон;64;2;0.79;13;0.23;0,00;1,00;0.5;НЕТ;НЕТ;0,00;0.92;0.08;0,00;0,00;1,00
Нагорный;65;2;0.63;10;0.22;0.5;0.78;1,00;НЕТ;НЕТ;0.2;0.7;0.1;0,00;0,00;0.8
Некрасовка;66;2;0.72;10;0.33;0.67;0.8;НЕТ;НЕТ;НЕТ;0.2;0.8;0,00;0,00;0,00;0.8
Нижегородский;67;2;0.7;12;0,00;0.18;0.75;0,00;НЕТ;НЕТ;0.25;0.75;0,00;0,00;0,00;0.75
Ново-Переделкино;68;2;0.69;12;0.19;0.5;1,00;НЕТ;НЕТ;НЕТ;0.42;0.58;0,00;0,00;0,00;0.58
Новогиреево;69;2;0.6;12;0.32;0.43;0.67;0.5;НЕТ;НЕТ;0.25;0.67;0.08;0,00;0,00;0.75
Новокосино;70;2;0.5;12;0.22;0.33;0.91;НЕТ;НЕТ;НЕТ;0.17;0.83;0,00;0,00;0,00;0.83
Обручевский;71;2;0.47;10;0,00;0,00;1,00;0,00;НЕТ;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Орехово-Борисово Северное;72;2;0.81;15;0.5;0,00;1,00;0,00;НЕТ;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Орехово-Борисово Южное;73;2;0.67;15;0,00;0.5;1,00;НЕТ;НЕТ;0,00;0.33;0.67;0,00;0,00;0,00;0.67
Останкинский;74;2;0.51;12;0.33;0.29;0.5;0.29;НЕТ;НЕТ;0.42;0.42;0.17;0,00;0,00;0.58
Отрадное;75;2;0.55;18;0.08;0.29;0.56;0.13;НЕТ;НЕТ;0.33;0.56;0.11;0,00;0,00;0.67
Очаково-Матвеевское;76;2;0.57;12;0.11;0.5;0.88;0,00;НЕТ;НЕТ;0.42;0.58;0,00;0,00;0,00;0.58
Перово;77;2;0.57;14;0.49;0.67;0.71;НЕТ;НЕТ;НЕТ;0.29;0.71;0,00;0,00;0,00;0.71
Печатники;78;2;0.63;15;0.39;0.33;0.87;НЕТ;НЕТ;НЕТ;0.13;0.87;0,00;0,00;0,00;0.87
Покровское-Стрешнево;79;2;0.53;12;0.07;0.5;0.67;0.6;НЕТ;НЕТ;0.08;0.67;0.25;0,00;0,00;0.92
Преображенское;80;2;0.58;12;0.1;0.5;0.82;0.5;НЕТ;НЕТ;0.17;0.75;0.08;0,00;0,00;0.83
Пресненский;81;2;0.62;15;0.29;0.25;0.87;0,00;НЕТ;НЕТ;0.13;0.87;0,00;0,00;0,00;0.87
Проспект Вернадского;82;2;0.56;10;0.4;0.33;1,00;0.33;НЕТ;НЕТ;0.4;0.5;0.1;0,00;0,00;0.6
Раменки;83;2;0.58;12;0,00;1,00;0.86;0,00;НЕТ;НЕТ;0.5;0.5;0,00;0,00;0,00;0.5
Ростокино;84;2;0.52;10;0.3;0.38;0.5;0,00;НЕТ;НЕТ;0.5;0.5;0,00;0,00;0,00;0.5
Рязанский;85;2;0.77;12;0.3;0,00;0.92;0.2;НЕТ;НЕТ;0,00;0.92;0.08;0,00;0,00;1,00
Савёлки;86;2;0.52;12;0.44;0.63;0.78;НЕТ;НЕТ;НЕТ;0.42;0.58;0,00;0,00;0,00;0.58
Савёловский;87;2;0.5;12;0.29;0.08;0.7;1,00;НЕТ;НЕТ;0.08;0.58;0.33;0,00;0,00;0.92
Свиблово;88;2;0.53;14;0.09;0.11;0.79;0,00;НЕТ;0.25;0.14;0.79;0,00;0,00;0.07;0.86
Северное Бутово;89;2;0.57;10;0.18;0.33;0.89;0,00;НЕТ;НЕТ;0.2;0.8;0,00;0,00;0,00;0.8
Северное Измайлово;90;2;0.55;12;0.23;0.44;0.58;0.5;НЕТ;НЕТ;0.33;0.58;0.08;0,00;0,00;0.67
Северное Медведково;91;2;0.59;15;0.27;0.17;0.93;0,00;НЕТ;НЕТ;0.07;0.93;0,00;0,00;0,00;0.93
Северное Тушино;92;2;0.52;15;0.11;0.5;0.8;0,00;НЕТ;НЕТ;0.2;0.8;0,00;0,00;0,00;0.8
Северный;93;2;0.69;10;0,00;0.5;0.5;НЕТ;НЕТ;НЕТ;0.5;0.5;0,00;0,00;0,00;0.5
Силино;94;2;0.55;14;0.27;0.44;0.75;1,00;НЕТ;НЕТ;0.29;0.64;0.07;0,00;0,00;0.71
Сокол;95;2;0.63;10;0.34;0,00;1,00;0,00;НЕТ;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Соколиная Гора;96;2;0.6;12;0.05;0.5;0.75;1,00;НЕТ;НЕТ;0.17;0.75;0.08;0,00;0,00;0.83
Сокольники;97;2;0.52;10;0.1;0.3;0.7;НЕТ;НЕТ;НЕТ;0.3;0.7;0,00;0,00;0,00;0.7
Солнцево;98;2;0.6;12;0.43;0.6;0.73;1,00;НЕТ;НЕТ;0.25;0.67;0.08;0,00;0,00;0.75
Старое Крюково;99;2;0.54;12;0.19;0.57;0.89;0,00;НЕТ;НЕТ;0.33;0.67;0,00;0,00;0,00;0.67
Строгино;100;2;0.49;16;0.18;0.14;0.64;0.25;НЕТ;НЕТ;0.06;0.56;0.13;0,00;0,00;0.94
Таганский;101;2;0.66;15;0.1;0.23;0.8;0,00;НЕТ;НЕТ;0.2;0.8;0,00;0,00;0,00;0.8
Тверской;102;2;0.64;12;0.36;0.57;0.88;0.33;НЕТ;НЕТ;0.33;0.58;0.08;0,00;0,00;0.67
Текстильщики;103;2;0.8;12;0.05;0.2;0.83;1,00;НЕТ;НЕТ;0.08;0.83;0.08;0,00;0,00;0.92
Тёплый Стан;104;2;0.59;15;0.4;0.48;0.71;0,00;НЕТ;НЕТ;0.67;0.33;0,00;0,00;0,00;0.33
Тимирязевский;105;2;0.51;15;0.07;0.6;0.79;0.2;НЕТ;НЕТ;0.2;0.73;0.07;0,00;0,00;0.8
Тропарёво-Никулино;106;2;0.61;12;0.18;0.62;0.67;0,00;НЕТ;НЕТ;0.67;0.33;0,00;0,00;0,00;0.33
Филёвский Парк;107;2;0.46;12;0.2;0.6;0.82;НЕТ;НЕТ;НЕТ;0.25;0.75;0,00;0,00;0,00;0.75
Фили-Давыдково;108;2;0.58;12;0.14;0.5;0.57;0,00;НЕТ;НЕТ;0.67;0.33;0,00;0,00;0,00;0.33
Хамовники;109;2;0.8;15;0.32;0.33;0.87;0,00;НЕТ;НЕТ;0.13;0.87;0,00;0,00;0,00;0.87
Ховрино;110;2;0.58;12;0.43;0.22;0.91;НЕТ;НЕТ;НЕТ;0.17;0.83;0,00;0,00;0,00;0.83
Хорошёво-Мнёвники;111;2;0.48;15;0.35;0.25;0.93;0,00;НЕТ;НЕТ;0.07;0.93;0,00;0,00;0,00;0.93
Хорошёвский;112;2;0.51;10;0.11;0.29;0.5;0,00;НЕТ;НЕТ;0.5;0.5;0,00;0,00;0,00;0.5
Царицыно;113;2;0.79;12;0.19;0.44;1,00;0,00;НЕТ;НЕТ;0.33;0.67;0,00;0,00;0,00;0.67
Черёмушки;114;2;0.52;12;0,00;0.57;1,00;0,00;НЕТ;НЕТ;0.33;0.67;0,00;0,00;0,00;0.67
Чертаново Северное;115;2;0.81;12;0.54;0.63;1,00;0,00;НЕТ;НЕТ;0.42;0.58;0,00;0,00;0,00;0.58
Чертаново Центральное;116;2;0.83;12;0.2;0,00;1,00;0,00;НЕТ;НЕТ;0,00;1,00;0,00;0,00;0,00;1,00
Чертаново Южное;117;2;0.84;15;0.26;0.38;1,00;0,00;НЕТ;НЕТ;0.2;0.8;0,00;0,00;0,00;0.8
Щукино;118;2;0.49;15;0.2;0,00;0.67;0.4;НЕТ;1,00;0,00;0.67;0.27;0,00;0.07;1,00
